id,name,text,trans
0000000000000,ことね,わーっ！　人多すぎーっ！,哇——！人太多了——！
0000000000000,清夏,ちょっとリーリヤ！\n手！　手～っ！,喂莉莉娅！\n手！手——！
0000000000000,リーリヤ,す、清夏ちゃん……！,清、清夏同学……！
0000000000000,咲季,とにかく抜けるわよ！\nわたしについてきなさい！,总之先突围吧！\n跟紧我！
0000000000000,ことね,はーっ。やっと抜け出せた。,哈——。总算挤出来了。
0000000000000,リーリヤ,はぁ、はぁ……す、清夏ちゃん？,哈啊、哈啊……清、清夏同学？
0000000000000,リーリヤ,清夏ちゃん、どこ……！？,清夏同学，你在哪……！？
0000000000000,ことね,あー……手毬もいないや。\nはぐれちゃったなぁ～。,啊——……手毬也不见了。\n和大家走散了呢～。
0000000000000,ことね,ねー咲季ぃー。\n探しに戻る？,喂——咲季——。\n要回去找她们吗？
0000000000000,咲季,この人混みを戻るなんて非合理的だわ。,重新挤进这人潮里太不理智了。
0000000000000,咲季,メッセージを送っておけば\nどこかで合流できるわよ。,只要发个消息\n总能会合的啦。
0000000000000,リーリヤ,わ、わたしは……\n探しに行きたい、です。,我、我还是……\n想去找她们。
0000000000000,ことね,あ～……そっかぁ、\n心細いよね。,啊～……也是呢，\n会觉得不安吧。
0000000000000,咲季,ふふふふ……\nわたしはリーリヤがいればいいわ。,呵呵呵呵……\n我有莉莉娅在身边就够了。
0000000000000,ことね,ちょっとちょっと～。\nリーリヤちゃんの都合も考えな～？,喂喂～。\n也考虑下莉莉娅的意愿嘛～？
0000000000000,咲季,どうして？\nわたしたちがいるじゃない。,为什么？\n不是有我们在吗。
0000000000000,リーリヤ,えっ……？,诶……？
0000000000000,咲季,そ、れ、よ、り！\n懇親会の時は本調子じゃなかったの！,比、那、个、更、重要！\n交流会时你根本没认真对吧！
0000000000000,咲季,さあ、どれでも選びなさい！\nなんでもいいわよ！,来吧，随便选哪个都行！\n选什么都可以哦！
0000000000000,咲季,今度こそわたしが勝つんだから！,这次我一定要赢过你！
0000000000000,リーリヤ,そ、そんなこと言われても……,虽、虽然你这么说……
0000000000000,咲季,さあっ！\nどれにするのっ！？,来吧！\n选哪个好呢！？
0000000000000,リーリヤ,え、ええと、ええと……,呃、那个、那个……
0000000000000,リーリヤ,じゃあ…………わなげで…………,那……就选……套圈吧……
0000000000000,咲季,狙いをつけて……\nよっし！,瞄准目标……\n好嘞！
0000000000000,リーリヤ,えいっ……えいーっ……！,嘿……嘿——……！
0000000000000,咲季,完・全・勝・利っ！,完·全·胜·利！
0000000000000,リーリヤ,ひ……ひとつも入りませんでした……,一……一个都没中……
0000000000000,ことね,ふつーふつー、ふつーだって！,普通普通，就是普通啦！
0000000000000,ことね,ラムネ飲んで元気出しな～？,喝点弹珠汽水打起精神吧～？
0000000000000,リーリヤ,ありがとうございます……\nこれがラムネなんですね。,谢谢您……\n原来这就是弹珠汽水啊。
0000000000000,リーリヤ,……あれ？　あれっ？\nこれ、どうやって開けるんですか？,……咦？咦？\n这个要怎么打开啊？
0000000000000,ことね,プラスチックの変なのついてるっしょ？,不是有个塑料的奇怪东西吗？
0000000000000,ことね,それを、こうやって……,就这样，这样……
0000000000000,リーリヤ,わっ！,哇！
0000000000000,リーリヤ,こ、これ、ビー玉なんですか……！？,这、这个，是玻璃珠吗……！？
0000000000000,咲季,ちょっと～～～～っ！\n無視しないでよね！,喂～～～～！\n不要无视人家啊！
0000000000000,咲季,さあ葛城リーリヤ！,来吧葛城莉莉娅！
0000000000000,リーリヤ,あ、はい……\n負けちゃいました。,啊、好的……\n我输了。
0000000000000,咲季,ふふん♪\nま、当然よね。,哼哼♪\n嘛，这是当然的啦。
0000000000000,ことね,よ～し、もう気はすんだ？,好～啦，现在气消了吗？
0000000000000,ことね,リーリヤちゃん寂しがってるし、\nあいつら探しに……,莉莉娅同学看起来很寂寞，\n我们去找她们吧……
0000000000000,咲季,次は射的で勝負よ！,接下来用射击游戏一决胜负吧！
0000000000000,ことね,ええ～……,诶～……
0000000000000,咲季,まだ借りを返しただけで、\n勝ち越してないもの。,刚才只是还了欠账而已，\n还没真正反超呢。
0000000000000,咲季,次も勝利してこそ\n本当に勝ったって言えるんだから！,只有下一局也获胜\n才能算真正的胜利啊！
0000000000000,ことね,リーリヤちゃん……\nほんと悪いんだけどさぁ。,莉莉娅同学……\n虽然很不好意思啦。
0000000000000,ことね,もう1回勝ったら\n満足すると思うから～……,我想再赢一次的话\n应该就能满足了～……
0000000000000,リーリヤ,あの……はい。,那个……好的。
0000000000000,リーリヤ,でも……しゃてきって、なんですか？,但是……射击游戏是什么呀？
0000000000000,ことね,ほらぁ、咲季きいたぁ～？,你看吧咲季～听到了吗？
0000000000000,ことね,リーリヤちゃん、日本のお祭り\n初めてなんだよ？,莉莉娅同学是第一次参加\n日本的祭典哦？
0000000000000,ことね,もっと優しくしてあげなぁ～。,要对人家更温柔一点啦～。
0000000000000,咲季,勝負なのに手を抜けっていうの！？,明明是对决居然说要放水！？
0000000000000,ことね,初心者に全力で勝って、\n嬉しいってワケぇ？,对新手全力以赴获胜，\n这样很开心吗？
0000000000000,ことね,咲季ってそんななさけねーコンジョー\nだったんだぁ～。,原来咲季是这么冷酷无情的人啊～。
0000000000000,咲季,うっ……,呜……
0000000000000,リーリヤ,あ、あの……わたしは大丈夫です。,啊，那个……我没关系的。
0000000000000,ことね,ダイジョブダイジョブ。\nこのくらい言えば効くし。,没事没事。\n这种程度的话才有效啦。
0000000000000,咲季,――確かに、ことねの言う通りだわ。,——确实，琴音说得对呢。
0000000000000,ことね,でしょ？　んじゃ勝ち負けなんて\nメンドーなことは忘れて……,对吧？那就把输赢什么的\n麻烦事都忘掉吧……
0000000000000,咲季,葛城リーリヤ！\n改めて、射的で勝負よ！,葛城莉莉娅！\n重新用射击一决胜负吧！
0000000000000,ことね,なんでそうなるんだよ～……,为什么会变成这样啦～……
0000000000000,咲季,ただし！　先にわたしが\n射的のレクチャーをしてあげる。,不过！首先让我来\n教你射击的要领。
0000000000000,リーリヤ,えっ？\nお、教えてくれるんですか？,咦？\n要、要教我吗？
0000000000000,咲季,初心者に勝ったって意味がないもの。,赢了初学者也没什么意思呢。
0000000000000,咲季,ふふん……安心しなさい。,哼哼……放心吧。
0000000000000,咲季,わたしがすぐに！　あっという間に！\n射的マスターにしてあげる！,我会马上！转眼间！\n把你培养成射击高手的！
0000000000000,咲季,そして今度こそ、\n負けを認めさせるわっ！,然后这次一定要\n让你认输！
0000000000000,ことね,あ～……あたしからも\nちょっと提案～。,啊～……人家也有个\n小提议～
0000000000000,ことね,負けた方が勝った方の言うこと\n聞くんだよね？,输的人要听赢的人的话\n对吧？
0000000000000,ことね,ならリーリヤちゃんが勝ったら、\n手毬たちと合流するでいい？,那如果莉莉娅赢了，\n就和手毬她们汇合可以吗？
0000000000000,咲季,と～～～～ぜん、\n負けたら従うわよ。負けたら。,当～～～～然，\n输了就会乖乖听话啦。输了的话。
0000000000000,リーリヤ,ふ、藤田さん……。\nありがとうございます……！,藤、藤田同学……。\n谢谢你……！
0000000000000,リーリヤ,あのっ……！\n花海さん、よろしくお願いします！,那个……！\n花海同学，请多指教！
info,adv_event_004_main-02.txt,,
译者,,,
