id,name,text,trans
0000000000000,星南,フフ……プロデューサー、\nなにを困った顔をしているの？,呵呵……制作人，\n怎么一副困扰的表情？
0000000000000,{user},いえ、特に言うことがないなと。,没什么特别要说的。
0000000000000,星南,ありがとう、\n褒め言葉と受け取っておく。,谢谢，\n我就当作赞美收下啦。
0000000000000,星南,参考までに教えてくれる？,能作为参考告诉我吗？
0000000000000,星南,私以外のアイドルには……\nどんな声をかけるのかしら？,对其他偶像……\n你会说些什么呢？
select,,油断は禁物です,不能掉以轻心
select,,肩の力を\n抜きましょう,放松肩膀\n的力道吧
select,,ギャラが\n上がりますよ,出场费\n会涨哦
0000000000000,星南,もちろんよ。アイドルに、\n気を抜いていい出番なんてない。,当然啦。作为偶像，\n根本没有可以松懈的舞台。
0000000000000,{user},……必要なかったでしょう？,……根本没必要吧？
0000000000000,星南,そんなことはないわ。,才没这回事呢。
0000000000000,星南,あなたの信頼が伝わってきた。,我能感受到你的信任。
0000000000000,星南,なら……応えなくてはね。,那么……我必须回应才行呢。
0000000000000,星南,ええ、大事なことね。,嗯，是很重要的事呢。
0000000000000,星南,モチベーションが高いがゆえに\n実力が発揮できない……,正因为干劲太足\n反而无法发挥实力……
0000000000000,星南,そんなことになってしまったら、\n本末転倒だもの。,要是变成那样的话，\n就本末倒置了。
0000000000000,{user},……必要なかったでしょう？,……根本没必要吧？
0000000000000,星南,そんなことないわ。,才没这回事呢。
0000000000000,星南,私の肩の力も……ほら、抜けている。,我的肩膀也……你看，放松下来了。
0000000000000,{user},最初から抜けていましたよ。,从一开始就很放松啊。
0000000000000,星南,ふふっ……じゃあ、行ってくるわね。,呵呵……那我就先走啦。
0000000000000,星南,ふっ……ふふふ……\nそれでやる気を出すアイドルがいるの？,呵……呵呵呵……\n用这种方式就能让偶像打起精神吗？
0000000000000,星南,いえ……確かにいるわね。\n私たちがよ～く知っているあの子なら。,不……确实存在这样的孩子呢。\n如果是我们很熟悉的那位的话。
0000000000000,星南,その激励でテンションを\n上げてくれるかも。,说不定会因为这样的鼓励\n而振奋起来呢。
0000000000000,星南,とても参考になったわ、先輩。,真是受益匪浅呢，前辈。
0000000000000,星南,ふふ、試験前に\nたくさん笑ってしまったじゃない。,呵呵，考试前\n笑得太过头了呢。
0000000000000,星南,気を引き締め直さないとね。,得重新打起精神才行。
info,adv_pstory_001_jsna_before-audition-mid-normal-01.txt,,
译者,,,
