id,name,text,trans
0000000000000,{user},（……姫崎さんの様子はどうかな）,（……不知道姬崎同学情况如何）
0000000000000,莉波,はぁ、はぁ、はぁ……\nうん、まぁまぁ……かなぁ？,哈、哈、哈……\n嗯，还算……可以吧？
0000000000000,莉波,ううん、もっと練習して、\n遅れをとり戻さないと。,不，还得继续练习，\n要把落后的部分追回来。
0000000000000,莉波,ワン、ツー、トントン♪\nワン、ツー、トン――,一、二、咚咚♪\n一、二、咚——
0000000000000,{user},頑張ってますね。,很努力呢。
0000000000000,莉波,あ、{user}くん……,啊，{user}……
select,,いい感じですね,感觉不错呢
select,,調子は\nどうですか？,状态\n怎么样？
select,,集中してください,请集中精神
0000000000000,{user},着実に上達しています。\nただ、まだ少し動きが固いですね。,确实在不断进步。\n不过动作还是有点僵硬呢。
0000000000000,莉波,……そっかぁ。,……这样啊。
0000000000000,{user},日々のトレーニングをしっかりして、\n身体を柔らかくしていきましょう。,要坚持日常训练，\n让身体变得更柔软才行。
0000000000000,莉波,うん、頑張るよ！\nお疲れ様！,嗯，我会加油的！\n辛苦了！
0000000000000,莉波,ま、まあまあかなぁ……,嘛、还算可以啦……
0000000000000,莉波,そろそろペースアップ\nしていかないとね。,差不多该加快\n练习节奏了呢。
0000000000000,{user},無理はせず、頑張ってください。,请不要勉强，继续加油。
0000000000000,莉波,うん。試験までにはこのステップ、\nものにしてみせるね！,嗯。在考试前一定要\n把这个舞步练熟！
0000000000000,{user},モチベーションは維持できてるな。\nあとはレッスンを積めば――,能保持住干劲呢。\n接下来只要坚持训练——
0000000000000,莉波,え？　は、はい……\nワン、ツー、トントン♪,诶？好、好的……\n一、二、咚咚♪
0000000000000,莉波,……って、きみに見られてるの、\nちょっと恥ずかしいかも。,……那个，被你看着练习，\n总觉得有点害羞呢。
0000000000000,{user},本番では、大勢のお客さんに\n一挙手一投足を見られるんですよ。,正式演出时，一举一动都会被\n众多观众看在眼里哦。
0000000000000,莉波,それは、そうだけど……,这个嘛，话是这么说……
0000000000000,{user},今度は最初から見ていますから、\n集中を切らさないようにしてください。,这次我从一开始就会全程观看，\n请保持专注不要松懈。
0000000000000,莉波,わ、わかりましたっ！,好、好的！
info,adv_pstory_001_hrnm_after-step-1-normal-02.txt,,
译者,,,
