id,name,text,trans
0000000000000,{user},咲季さん、オーディションの\n結果が出ました。,咲季同学，试镜的\n结果出来了。
0000000000000,{user},合格です。,恭喜你合格了。
0000000000000,咲季,ふっふっふ～、当然の結果ねっ！,哼哼哼～这不是理所当然的结果嘛！
0000000000000,咲季,今日のわたし、絶好調だったもの。,今天的我可是状态绝佳呢。
0000000000000,咲季,相手が気の毒なくらいだったわ。,对手都可怜到让我有点过意不去了。
0000000000000,{user},絶好調ゆえの好成績、\nではないと思いますよ。,我倒不觉得是因为状态好\n才取得的好成绩。
0000000000000,咲季,あら、どういう意味？,哦？你这话是什么意思？
0000000000000,{user},咲季さんは、いつも\nベストコンディションですよね。,因为咲季同学无论何时\n都保持着最佳状态不是吗。
0000000000000,咲季,まあそうだけど。,嘛…这倒也没错啦。
0000000000000,咲季,よっぽどのことがなければ、\n調子悪くなんてならないけど。,除非发生特别严重的事，\n不然我才不会状态不好呢。
0000000000000,咲季,ふんっ、悪かったわね――\n爆発力のないアイドルで。,哼～真是不好意思啊——\n我这个缺乏爆发力的偶像。
0000000000000,{user},とんでもない。常に安定した力を\n発揮することができるのは……,没这回事。能够时刻保持稳定发挥…
0000000000000,{user},不断の努力と自己管理のたまものです。\n咲季さんの『実力』ですよ。,正是持之以恒的努力与自我管理的结晶。\n这就是咲季同学真正的『实力』啊。
0000000000000,咲季,そ、そうかしら？,是、是这样吗？
0000000000000,{user},爆発力がないとも思いません。,我也不觉得自己缺乏爆发力。
0000000000000,{user},花海咲季の絶好調は――\nこんなものではないんです。,花海咲季的绝佳状态——\n可不止这种程度哦。
0000000000000,咲季,そっ、そーよね！　えへへ……\nわかってるじゃなぁ～い♪,就、就是说啊！嘿嘿……\n这不是很懂我嘛～♪
0000000000000,咲季,わたしの真の絶好調――\nいずれ見せてあげるわっ！,我真正的巅峰状态——\n迟早会让你见识到的！
info,adv_pstory_002_hski_after-audition-a-normal-02.txt,,
译者,,,
